bresjoID,areal_km2,Shape_STAr,Shape_STLe,centroid_lon,centroid_lat,GLOF,glof_years
103,0.04386683,43866.83081050000,1188.95335515,7.106732940241730,61.61545850830920,FALSE,
104,0.00750037,7500.37088013,535.087365909,7.018115626694150,61.603213822356000,FALSE,
105,0.01142228,11422.2766418,585.566466001,6.6809987057469100,61.497374133299100,FALSE,
106,0.04162893,41628.9283142,927.856149948,6.885232889815760,61.707300404978800,FALSE,
107,0.00446714,4467.14324951,347.079363687,6.672879992281400,61.70764540478260,FALSE,
108,0.00287885,2878.85476685,250.672447068,6.707237677098320,61.764667039926800,FALSE,
109,0.02338443,23384.4297485,860.227949566,6.61293181175087,61.419526204886100,FALSE,
110,0.18591253,185912.527222,1742.61808033,6.679243033383260,61.53414236981680,FALSE,
111,0.00772094,7720.93995667,666.396515917,6.282121484456480,61.66305288315730,FALSE,
112,0.00498767,4987.66734695,304.530558942,5.4322139043060700,61.75041899382420,FALSE,
113,0.01265405,12654.0512924,570.880659269,5.616976457295800,61.72941065769440,FALSE,
114,0.00199166,1991.65739822,209.986489439,5.667800631966680,61.72449724170110,FALSE,
115,0.01508625,15086.2500687,619.437012296,5.621606103940250,61.72825728691360,FALSE,
116,0.01714958,17149.5777893,746.951592159,5.6808004046192,61.76085864159450,FALSE,
117,0.07452764,74527.6418152,1291.88995949,6.476424942699970,61.504354145929400,FALSE,
118,0.01191979,11919.789032,512.494735392,6.817497954431520,61.330532875248000,FALSE,
119,0.02898256,28982.5640259,785.126277974,6.690910603022080,61.50515227663830,FALSE,
120,0.00934238,9342.37704468,583.639481439,6.800123904149480,61.47536037220820,FALSE,
121,0.18927583,189275.827332,3434.11726243,6.980198713644080,61.72878709338300,FALSE,
122,0.00117695,1176.94509888,131.669989591,7.038476030835190,61.58984597324820,FALSE,
123,0.09576035,95760.350647,1897.95140542,7.055597462475750,61.56804602248450,FALSE,
124,0.01826956,18269.5632629,676.146157336,6.923884356173590,61.477564760914600,FALSE,
125,0.00416847,4168.47198486,303.255631772,6.586598732463690,62.05296175476320,FALSE,
126,0.00181153,1811.52697754,231.61931434,7.08299508177747,62.01180454026330,FALSE,
127,0.00955639,9556.38690186,462.744612071,7.260189896568990,61.84916573935800,FALSE,
128,0.02442831,24428.3051147,768.112409993,7.043225745560480,61.818969233214200,FALSE,
129,0.04677317,46773.1687317,1049.84809535,6.841996026841560,61.638065743826100,FALSE,
130,0.02334619,23346.1886597,855.075978094,7.095462316501610,61.50989086308520,FALSE,
131,0.33922362,339223.622498,4201.98551252,7.145120019710800,61.53621259914830,FALSE,
132,0.02357459,23574.5922852,858.808045761,7.384064443155760,61.757396721975200,FALSE,
133,0.01779975,17799.745636,637.651525128,6.817749634703900,60.229993301448900,FALSE,
134,0.00543132,5431.32289124,425.105853812,6.476057670179730,60.16729755991080,FALSE,
135,0.35494935,354949.349686,5197.09045106,6.468710987175610,60.074463554987400,FALSE,
136,0.00076532,765.318634033,121.390789933,7.110358116786360,59.944599326041900,FALSE,
137,0.22380767,223807.673401,4201.56475229,6.819238322303690,59.942506840518700,FALSE,
138,0.00406548,4065.47982788,456.635802572,6.81611309053061,59.92935585317660,FALSE,
139,0.02579879,25798.7901917,640.636366233,6.803621109466320,59.9267632799993,FALSE,
140,0.03947887,39478.8659363,1692.56167465,7.144820767041500,59.89883738367980,FALSE,
141,0.01201096,12010.9629211,697.52964116,7.120219041204200,59.883524145700700,FALSE,
142,0.00514184,5141.84481812,341.82400814,6.915228365234110,59.74544930054040,FALSE,
143,0.04842723,48427.2269592,1393.82712476,7.119466682006030,59.952484590546700,FALSE,
144,0.07186626,71866.2599487,1296.02709566,7.127384465130320,59.946779396923600,FALSE,
145,0.02035579,20355.7938843,695.630391189,7.115313155916010,59.94685859285190,FALSE,
146,0.00420328,4203.27874756,302.880875257,6.972658779754430,60.02749689808110,FALSE,
147,0.01036643,10366.4279175,501.133419631,6.956153034258470,60.03427077970590,FALSE,
148,0.0300065,30006.5049438,831.08648383,6.962198893360880,60.03539672938680,FALSE,
149,0.01310319,13103.1889648,543.273110573,6.860170768400350,59.965282611358500,FALSE,
150,0.06870427,68704.2719727,1249.23007767,7.17354719661879,59.902293695089300,FALSE,
151,0.10198497,101984.970215,2308.78474332,7.168619311051680,59.89522574507620,FALSE,
152,0.0008001,800.104095459,140.591241863,6.81340468060882,59.93366010746950,FALSE,
153,0.00511855,5118.55430603,308.559584056,6.436403821532890,59.975143634123300,TRUE,"1938, 1944, 1948, 1962, 2018"
154,0.00192331,1923.31112671,224.716458323,6.358895823343660,59.94840671159050,FALSE,
155,0.07517194,75171.9415436,2513.59396254,6.353424714768890,59.94244211386910,FALSE,
156,0.00345421,3454.21257019,385.040897806,6.270030839232410,59.928679564754100,FALSE,
157,0.0039998,3999.7953186,301.732900871,6.260898925905710,59.95713977308610,FALSE,
158,1.57532646,1575326.46143,12002.043856,6.22371517185264,59.942199016859900,FALSE,
159,0.00124142,1241.41796112,142.385145033,6.229746468508770,59.96198233235630,FALSE,
160,0.00969477,9694.77081299,416.196816926,6.223909111255240,59.96717412844160,FALSE,
161,0.01871436,18714.3570747,690.984807946,6.202411793027790,59.98286625937660,FALSE,
162,0.00121011,1210.11344147,140.505843612,6.214532710663930,60.01180787408980,FALSE,
163,0.00345435,3454.34902191,292.117388653,6.25079523724316,60.03167308965970,FALSE,
164,0.00462731,4627.30727386,360.994702132,6.300381181416960,60.05031487481860,FALSE,
165,0.0201162,20116.2011566,940.282836213,6.329789101197420,60.064159585574200,FALSE,
166,0.22746158,227461.579834,3354.12673423,6.373001310485260,60.09833395856680,FALSE,
167,0.02444883,24448.8255157,700.08016724,6.390549080800910,60.10071876962810,FALSE,
