id,name,latitude,longitude,country,rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,surge_type,term_type,glac_name,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m,glacier_name,distance_to_glacier_m,distance_to_glacier_km,closest_glacier,closest_glacier_lat,closest_glacier_lon
SN87000,ÅNSTADBLÅHEIA,68.7183,15.3112,Norge,RGI2000-v7.0-G-08-01741,08,08-01,G015460E68525N,354301,611,2001-08-20,15.460394378108859,68.5258895,33,0.051545275353115,0,0,0,9,,1,15.467262279523432,68.52626671683328,630.0288,997.986,783.98425,791.482,35.36449,87.0983,3,COPDEM30,641,RGI2000-v7.0-G-08-01741,22295.69105063371,22.29569105063371,RGI2000-v7.0-G-08-01741,68.5258895,15.460394378108859
SN9250,FV29 GRAVBEKKLIA,62.18383,9.71817,Norge,RGI2000-v7.0-G-08-02649,08,08-02,G009413E62360N,353714,611,2003-08-09,9.412593916234286,62.360022,32,0.154023538409891,0,0,0,9,Storbrean,1,9.416012735230815,62.360944248174654,1724.5114,1847.7312,1774.9019,1777.2014,18.01642,70.876625,3,COPDEM30,418,Storbrean,25261.4691496057,25.2614691496057,Storbrean,62.360022,9.412593916234286
SN49085,FOLGEFONNA SKISENTER,60.2263,6.4347,Norge,RGI2000-v7.0-G-08-03026,08,08-02,G006466E60218N,352233,611,2002-09-13,6.45442508669665,60.2199215,32,5.413127988010444,0,0,0,9,,1,6.433281357496678,60.22585548226267,1194.7395,1631.8163,1539.7583,1515.9254,9.080255,333.03507804870605,8,COPDEM30,3681,RGI2000-v7.0-G-08-03026,1306.9819205316046,1.3069819205316047,RGI2000-v7.0-G-08-03026,60.2199215,6.45442508669665
SN11000,FV705 LANGSVOLA,62.8715,11.80767,Norge,RGI2000-v7.0-G-08-03409,08,08-03,G012218E63005N,1012457,812,2002-08-23,12.218209158660844,63.005493,33,0.072925719656763,0,0,0,9,,0,12.21849077634446,63.00715440006898,1256.3105,1450.2937,1327.3748,1336.4174,29.878586,349.9699296951294,1,COPDEM30,342,RGI2000-v7.0-G-08-03409,25641.53226193375,25.64153226193375,RGI2000-v7.0-G-08-03409,63.005493,12.218209158660844
SN219900,YLINENJARVI,66.6236111111111,23.4680555555556,Sverige,RGI2000-v7.0-G-08-00773,08,08-01,G018469E67616N,1012683,812,2002-07-31,18.46816575037237,67.6163845,34,0.536724300064496,0,0,0,9,,0,18.478481351318226,67.61760605707595,1194.8448,1515.4858,1268.7834,1290.3064,18.952026,92.07606,3,COPDEM30,960,RGI2000-v7.0-G-08-00773,243652.80014962016,243.65280014962016,RGI2000-v7.0-G-08-00773,67.6163845,18.46816575037237
SN211000,GIELAS,65.3280555555556,15.0688888888889,Sverige,RGI2000-v7.0-G-08-01785,08,08-01,G014173E65158N,353990,611,1999-09-07,14.173103967989004,65.157385,33,0.095781509371961,0,0,0,9,,1,14.173642742146457,65.15934413787757,992.25726,1117.1099,1051.6724,1050.1221,24.661415,49.0068,2,COPDEM30,487,RGI2000-v7.0-G-08-01785,45977.50313957052,45.97750313957052,RGI2000-v7.0-G-08-01785,65.157385,14.173103967989004
SN243200,OREBRO,59.2288888888889,15.0455555555556,Sverige,RGI2000-v7.0-G-08-03130,08,08-03,G008038E60563N,353310,611,2003-08-09,8.037972559479552,60.5624185,32,0.078350802950167,0,0,0,9,,1,8.040392942147328,60.56382039579256,1661.2982,1743.1566,1694.3219,1697.331,12.820272,88.32107,3,COPDEM30,594,RGI2000-v7.0-G-08-03130,419273.11614395,419.27311614395,RGI2000-v7.0-G-08-03130,60.5624185,8.037972559479552
SN70510,VERA II,63.7856215,12.3803981,Norge,RGI2000-v7.0-G-08-03409,08,08-03,G012218E63005N,1012457,812,2002-08-23,12.218209158660844,63.005493,33,0.072925719656763,0,0,0,9,,0,12.21849077634446,63.00715440006898,1256.3105,1450.2937,1327.3748,1336.4174,29.878586,349.9699296951294,1,COPDEM30,342,RGI2000-v7.0-G-08-03409,87320.8687578367,87.32086875783669,RGI2000-v7.0-G-08-03409,63.005493,12.218209158660844
SN2970,E16 ØYERMOEN,60.2525,12.4562,Norge,RGI2000-v7.0-G-08-03400,08,08-03,G008718E61395N,353630,611,2003-08-09,8.7160375,61.395489,32,0.106281441393983,0,0,0,9,,1,8.71914099512754,61.39387965778901,1820.2789,1996.8773,1907.2932,1904.9404,26.084538,142.73657,4,COPDEM30,487,RGI2000-v7.0-G-08-03400,240084.98354861035,240.08498354861035,RGI2000-v7.0-G-08-03400,61.395489,8.7160375
SN31680,HANSBU,60.0825,7.4247,Norge,RGI2000-v7.0-G-08-03081,08,08-03,G007186E60022N,352797,611,2003-08-09,7.182963491652934,60.0234035,32,0.140487329594169,0,0,0,9,,1,7.17902180956854,60.0265434281579,1421.2292,1525.3933,1472.9148,1472.6893,18.915672,46.377148,2,COPDEM30,861,RGI2000-v7.0-G-08-03081,15018.308976435064,15.018308976435064,RGI2000-v7.0-G-08-03081,60.0234035,7.182963491652934
SN30280,FV353 BRUMYRDAL,59.1255,9.50767,Norge,RGI2000-v7.0-G-08-03090,08,08-03,G007142E59754N,352762,611,2003-08-09,7.142340720834902,59.7540665,32,0.064825985754356,0,0,0,9,,1,7.143595685033784,59.755503916776455,1400.4125,1551.1473,1457.2755,1459.0273,23.19011,51.510685,2,COPDEM30,413,RGI2000-v7.0-G-08-03090,151574.01042697876,151.57401042697876,RGI2000-v7.0-G-08-03090,59.7540665,7.142340720834902
